id,invoice_id,user_id,amount,payment_date,payment_method,reference_number,notes,recorded_by,created_at,updated_at,payment_type,client_id
00719c45-53ce-4ac8-a97d-7ea530cdcbdc,,e908901c-0bbf-421e-9cc8-924e19a46508,3000000,2025-08-02,bank_transfer,,,e908901c-0bbf-421e-9cc8-924e19a46508,2025-08-02 05:18:30.612418+00,2025-08-02 05:18:30.612418+00,deposit,b62ffafa-c89c-4337-81c1-f769291139e7
326b5325-9b58-4d69-94f4-d00075e620f8,4f288eae-1809-4c53-9f7a-5b999e3b1e72,e908901c-0bbf-421e-9cc8-924e19a46508,500000,2025-08-06,bank_transfer,,,e908901c-0bbf-421e-9cc8-924e19a46508,2025-08-06 03:10:54.94874+00,2025-08-06 03:10:54.94874+00,payment,
91435d9f-7710-4f67-9bd6-de183d005dd9,3a7536c1-b8ec-4c37-922c-c83b3194dd8d,e908901c-0bbf-421e-9cc8-924e19a46508,1200000,2025-08-06,,,,e908901c-0bbf-421e-9cc8-924e19a46508,2025-08-06 03:12:27.131526+00,2025-08-06 03:12:27.131526+00,payment,
d49e1a3f-c024-4afe-8157-6f33ab72b497,ce65bc4a-2cfa-4fd1-a9df-df31940ed41f,e908901c-0bbf-421e-9cc8-924e19a46508,500000,2025-08-06,,,,e908901c-0bbf-421e-9cc8-924e19a46508,2025-08-06 03:11:26.84761+00,2025-08-06 03:11:26.84761+00,payment,
e5e3a562-a12c-45bd-abe0-655e3c05bf35,3b5d1927-8d18-4408-89cf-a606103531dd,e908901c-0bbf-421e-9cc8-924e19a46508,650000,2025-07-30,bank_transfer,,,e908901c-0bbf-421e-9cc8-924e19a46508,2025-08-05 07:31:41.470389+00,2025-08-05 07:31:41.470389+00,payment,
